,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Pontian,Pontian,GPE,-0.13750000,0.58068182,en,1.10000000,,-1,,,,,,
Qonto,Qonto,GPE,0.25974026,0.48701299,en,1.10000000,,-1,,,,,,
West Palm Beach,West Palm Beach,GPE,-0.28282828,0.52525253,en,1.10000000,,-1,,,,,,
Los Gatos,Los Gatos,GPE,0.00000000,0.00000000,en,1.10000000,,-1,,,,,,
Lancaster city,Lancaster city,GPE,0.12396694,0.41322314,en,1.10000000,,-1,,,,,,
Mass.,Mass.,GPE,0.00000000,0.00000000,en,1.10000000,,-1,,,,,,
Cayman Islands,Cayman Islands,GPE,0.29090909,0.43636364,en,1.10000000,4310479-4,3580718,X,19.50000000,-80.66666900,CENTRAL-AMERICA,,CAR
Jammu North,Jammu North,GPE,-0.12662338,0.91774892,en,1.10000000,,-1,,,,,,
North Dakota,North Dakota,GPE,0.45454545,1.54545455,en,1.10000000,4075498-4,5690763,X,47.50027000,-100.80000000,NORTH-AMERICA,United States,CNA
Fargo,Fargo,GPE,0.45454545,1.54545455,en,1.10000000,,-1,,,,,,
the Space Coast,the Space Coast,LOC,0.12396694,0.50413223,en,1.10000000,,-1,,,,,,
Amherst,Amherst,GPE,0.15151515,1.16161616,en,1.10000000,,-1,,,,,,
The United Kingdom,The United Kingdom,GPE,0.23140496,0.80165289,en,1.10000000,,-1,,,,,,
Central Java,Central Java,GPE,0.00000000,0.45454545,en,1.10000000,,-1,,,,,,
JAMAICA,JAMAICA,GPE,0.00000000,0.00000000,en,1.10000000,,-1,,,,,,
Louisville,Louisville,GPE,-0.12121212,0.36363636,en,1.10000000,,-1,,,,,,
the East Coast,the East Coast,LOC,0.24793388,0.82644628,en,1.10000000,,-1,,,,,,
Kamloops,Kamloops,GPE,0.50000000,0.86363636,en,1.10000000,4250976-2,5989045,X,50.66648000,-120.31919900,NORTH-AMERICA,Canada,NWN
A.L.,A.L.,GPE,0.00000000,0.27272727,en,1.10000000,,-1,,,,,,
Operation Cloudburst,Operation Cloudburst,LOC,0.90909091,1.54545455,en,1.10000000,,-1,,,,,,
Vadodara,Vadodara,GPE,0.54545455,0.86363636,en,1.10000000,4349634-9,1253573,X,22.29939900,73.20811900,ASIA,India,SAS
Sacramento,Sacramento,GPE,-0.63636364,0.63636364,en,1.10000000,,-1,,,,,,
Doctolib,Doctolib,GPE,0.25974026,0.48701299,en,1.10000000,,-1,,,,,,
Semarang District,Semarang District,GPE,0.00000000,0.45454545,en,1.10000000,,-1,,,,,,
Lantang Valley,Lantang Valley,LOC,0.00000000,0.00000000,en,1.10000000,,-1,,,,,,
Las Vegas,Las Vegas,GPE,-0.14545455,0.61212121,en,1.10000000,,-1,,,,,,
The Delhi,The Delhi,GPE,0.04727273,0.21948052,en,1.00000000,,-1,,,,,,
Elevation Map,Elevation Map,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Aspen,Aspen,GPE,0.50000000,0.50000000,en,1.00000000,,-1,,,,,,
Area,Area,LOC,0.25000000,0.33333333,en,1.00000000,,-1,,,,,,
Oahu,Oahu,GPE,-0.05000000,0.62500000,en,1.00000000,,-1,,,,,,
Bhopal,Bhopal,GPE,-0.40000000,0.55000000,en,1.00000000,4127496-9,1275841,X,23.25469000,77.40288900,ASIA,India,SAS
Hsinchu,Hsinchu,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Wahiawa,Wahiawa,LOC,-0.30000000,0.35000000,en,1.00000000,,-1,,,,,,
Bathymetric,Bathymetric,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
the Strait of Hormuz,the Strait of Hormuz,LOC,-0.02777778,0.45000000,en,1.00000000,,-1,,,,,,
Deschutes,Deschutes,GPE,0.10416667,0.52083333,en,1.00000000,,-1,,,,,,
Changsha,Changsha,GPE,0.46666667,0.70000000,en,1.00000000,4009742-0,1815577,X,28.19861100,112.97083300,ASIA,China,EAS
Rocky Mo,Rocky Mo,LOC,0.05000000,0.15000000,en,1.00000000,,-1,,,,,,
Gandhinagar,Gandhinagar,GPE,0.00000000,0.12500000,en,1.00000000,4736596-1,1271715,X,23.21667000,72.68332900,ASIA,India,SAS
Arriba Mexico,Arriba Mexico,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
South Shaoshan Street,South Shaoshan Street,LOC,0.46666667,0.70000000,en,1.00000000,,-1,,,,,,
yakushima,yakushima,GPE,0.30000000,0.38333333,en,1.00000000,,-1,,,,,,
₹300,₹300,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Perlis,Perlis,GPE,0.10000000,0.40000000,en,1.00000000,4311334-5,1733040,X,6.50000000,100.25000000,ASIA,Malaysia,SEA
Soil,Soil,LOC,-0.05000000,0.48750000,en,1.00000000,,-1,,,,,,
Morrill County,Morrill County,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Denare Beach,Denare Beach,GPE,-0.12222222,0.05555556,en,1.00000000,,-1,,,,,,
NZ,NZ,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
ENDICOTT,ENDICOTT,GPE,0.00000000,0.50000000,en,1.00000000,,-1,,,,,,
Sask,Sask,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
N.Y. En-Joie,N.Y. En-Joie,GPE,0.00000000,0.50000000,en,1.00000000,,-1,,,,,,
Broome County's,Broome County's,GPE,0.00000000,0.50000000,en,1.00000000,,-1,,,,,,
Fitzroy,Fitzroy,GPE,0.00000000,0.06666667,en,1.00000000,,-1,,,,,,
Palghar,Palghar,GPE,0.10000000,0.40000000,en,1.00000000,,-1,,,,,,
overplowing,overplowing,GPE,0.10000000,0.40000000,en,1.00000000,,-1,,,,,,
North Korea’s,North Korea’s,GPE,0.18750000,0.45833333,en,1.00000000,,-1,,,,,,
the Heran River,the Heran River,LOC,-0.06250000,0.45000000,en,1.00000000,,-1,,,,,,
Prairies,Prairies,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
the National Oceanic,the National Oceanic,LOC,0.31111111,0.87777778,en,1.00000000,,-1,,,,,,
OKLAHOMA CITY,OKLAHOMA CITY,GPE,-0.03333333,0.42500000,en,1.00000000,,-1,,,,,,
Salinas,Salinas,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
U.S,U.S,GPE,-0.10000000,0.08333333,en,1.00000000,,-1,,,,,,
South Goa,South Goa,GPE,-0.23333333,0.60000000,en,1.00000000,,-1,,,,,,
Skyroot,Skyroot,GPE,-0.02916667,0.34375000,en,1.00000000,,-1,,,,,,
the Son basin,the Son basin,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
El Nino...,El Nino...,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
BOGOTA,BOGOTA,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Mada dams,Mada dams,GPE,0.25000000,0.85000000,en,1.00000000,,-1,,,,,,
the United States',the United States',GPE,0.17222222,0.41666667,en,1.00000000,,-1,,,,,,
Vijayawada,Vijayawada,GPE,-0.12500000,0.37500000,en,1.00000000,4358367-2,1253184,X,16.51927900,80.63048900,ASIA,India,SAS
Puducherry,Puducherry,LOC,0.00000000,0.00000000,en,1.00000000,16023115-2,1259425,X,11.93380900,79.82979000,ASIA,India,SAS
The Puducherry govt,The Puducherry govt,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
KwaZulu-Natal,KwaZulu-Natal,LOC,-0.50000000,0.30000000,en,1.00000000,,-1,,,,,,
Rayalaseema,Rayalaseema,GPE,-0.09375000,0.55000000,en,1.00000000,,-1,,,,,,
rema…,rema…,GPE,-0.09375000,0.55000000,en,1.00000000,,-1,,,,,,
the Western United States,the Western United States,GPE,-0.10000000,0.61000000,en,1.00000000,,-1,,,,,,
Pennsylvania,Pennsylvania,GPE,0.00000000,0.80000000,en,1.00000000,4045103-3,6254927,X,40.27244900,-76.90567000,NORTH-AMERICA,United States,ENA
Madhya Pradesh's,Madhya Pradesh's,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Boulder,Boulder,GPE,0.00000000,0.10000000,en,1.00000000,,-1,,,,,,
Quebec,Quebec,GPE,0.50000000,0.50000000,en,1.00000000,,-1,,,,,,
Atacama Desert,Atacama Desert,GPE,0.35000000,0.50000000,en,1.00000000,,-1,,,,,,
Atacama,Atacama,GPE,-0.16666667,0.33333333,en,1.00000000,4003346-6,3899194,X,-28.51584000,-71.99999900,SOUTH-AMERICA,,SWS
CALIFORNIA,CALIFORNIA,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Lake Powell,Lake Powell,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Port El,Port El,GPE,-0.03333333,0.46666667,en,1.00000000,,-1,,,,,,
The Atacama Desert,The Atacama Desert,LOC,-0.06666667,0.60000000,en,1.00000000,,-1,,,,,,
the Pacific Coast,the Pacific Coast,LOC,0.40000000,0.62500000,en,1.00000000,,-1,,,,,,
the South-West monsoon,the South-West monsoon,LOC,-0.37500000,0.62500000,en,1.00000000,,-1,,,,,,
Heran,Heran,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
moon dust,moon dust,LOC,0.04242424,0.36363636,en,1.00000000,,-1,,,,,,
Ambika,Ambika,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Turkana county,Turkana county,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Kainama,Kainama,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
CHICAGO,CHICAGO,GPE,0.04450000,0.31050000,en,1.00000000,,-1,,,,,,
Chhota Udepur,Chhota Udepur,LOC,-0.06250000,0.45000000,en,1.00000000,,-1,,,,,,
the Ambika River,the Ambika River,LOC,-0.06250000,0.45000000,en,1.00000000,,-1,,,,,,
Tapi district,Tapi district,LOC,-0.06250000,0.45000000,en,1.00000000,,-1,,,,,,
Bokaro,Bokaro,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Tapi,Tapi,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Melaperungavoor,Melaperungavoor,GPE,0.10000000,0.40000000,en,1.00000000,,-1,,,,,,
the Willamette River,the Willamette River,LOC,0.25000000,0.55000000,en,1.00000000,,-1,,,,,,
the South-West Monsoon,the South-West Monsoon,LOC,0.00000000,1.00000000,en,1.00000000,,-1,,,,,,
Neuquén,Neuquén,GPE,0.09666667,0.49000000,en,1.00000000,,-1,,,,,,
Ohio,Ohio,GPE,0.35000000,0.87500000,en,1.00000000,,-1,,,,,,
the Sacramento River,the Sacramento River,LOC,0.00000000,0.56944444,en,1.00000000,,-1,,,,,,
Cauvery,Cauvery,LOC,0.15000000,0.45000000,en,1.00000000,,-1,,,,,,
Chile,Chile,GPE,-0.06666667,0.60000000,en,1.00000000,4009929-5,3895114,X,-30.00000000,-71.00000000,SOUTH-AMERICA,Chile,SWS
Karur,Karur,GPE,0.15000000,0.45000000,en,1.00000000,,-1,,,,,,
Karamoja,Karamoja,GPE,-0.14166667,0.34166667,en,1.00000000,,-1,,,,,,
Surabaya,Surabaya,GPE,0.00000000,1.00000000,en,1.00000000,4106427-6,1625822,X,-7.24917000,112.75082900,ASIA,Indonesia,SEA
Central,Central,LOC,-0.15000000,0.32500000,en,1.00000000,,-1,,,,,,
Southwest monsoon,Southwest monsoon,LOC,-0.03333333,0.65000000,en,1.00000000,,-1,,,,,,
JS335,JS335,GPE,0.16000000,0.54000000,en,1.00000000,,-1,,,,,,
Thiruvananthapuram,Thiruvananthapuram,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Thampanoor,Thampanoor,GPE,0.00000000,0.80000000,en,1.00000000,,-1,,,,,,
N.S.,N.S.,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Chakka,Chakka,GPE,0.00000000,0.80000000,en,1.00000000,,-1,,,,,,
Lakeville,Lakeville,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
west,west,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Suomi,Suomi,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Gulf,Gulf,LOC,-0.02321429,0.28392857,en,1.00000000,,-1,,,,,,
Koyna dam,Koyna dam,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
HOA,HOA,GPE,1.00000000,0.30000000,en,1.00000000,,-1,,,,,,
North Shore,North Shore,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Kolhapur river,Kolhapur river,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
United States of America,United States of America,GPE,0.20000000,0.45000000,en,1.00000000,4078704-7,6252001,X,39.75999900,-98.50000000,NORTH-AMERICA,United States,CNA
Panaji,Panaji,GPE,0.13461538,0.48076923,en,1.00000000,4228105-2,1260607,X,15.49573900,73.82623900,ASIA,,SAS
ANKARA,ANKARA,GPE,0.13636364,0.45454545,en,1.00000000,,-1,,,,,,
the Gulf of Alaska,the Gulf of Alaska,LOC,0.00000000,0.50000000,en,1.00000000,,-1,,,,,,
Cumberland,Cumberland,GPE,0.07500000,0.38750000,en,1.00000000,4090641-3,2651716,X,54.75000000,-3.00000000,EUROPE,United Kingdom,NEU
Canacona,Canacona,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
the United Arab Emirates,the United Arab Emirates,GPE,0.00833333,0.31666667,en,1.00000000,,-1,,,,,,
NY,NY,GPE,0.14962121,0.42929293,en,1.00000000,,-1,,,,,,
The Aral Sea,The Aral Sea,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Central Asia,Central Asia,LOC,0.12500000,0.29166667,en,1.00000000,,-1,,,,,,
Madurai,Madurai,GPE,0.00000000,0.00000000,en,1.00000000,4275927-4,1264521,X,9.91735000,78.11961900,ASIA,India,SAS
Muthupatti channel,Muthupatti channel,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Melbourne,Melbourne,GPE,0.52500000,0.26666667,en,1.00000000,4038526-7,2158177,X,-37.81400000,144.96332000,OCEANIA,Australia,SAU
accor,accor,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Veppampatti village,Veppampatti village,GPE,0.16000000,0.54000000,en,1.00000000,,-1,,,,,,
the United St…,the United St…,GPE,0.10000000,0.40000000,en,1.00000000,,-1,,,,,,
TN,TN,GPE,-0.27558442,0.49567100,en,1.00000000,,-1,,,,,,
MONTEZUMA,MONTEZUMA,GPE,0.24450000,0.40800000,en,1.00000000,,-1,,,,,,
Mallee,Mallee,GPE,0.21212121,0.35151515,en,1.00000000,,-1,,,,,,
Riverland,Riverland,LOC,0.21212121,0.35151515,en,1.00000000,,-1,,,,,,
South Korea’s,South Korea’s,GPE,0.18750000,0.45833333,en,1.00000000,,-1,,,,,,
Incheon,Incheon,GPE,0.20500000,0.43666667,en,1.00000000,4394990-3,1843564,X,37.45360900,126.73166900,ASIA,South Korea,EAS
New Jersey American Water Provides Wise Water Tips,New Jersey American Water Provides Wise Water Tips,GPE,0.24318182,0.45227273,en,1.00000000,,-1,,,,,,
New Jersey American Water,New Jersey American Water,GPE,0.08116883,0.30865801,en,1.00000000,,-1,,,,,,
Montana,Montana,GPE,0.00000000,0.00000000,en,1.00000000,4040138-8,5667009,X,47.50000000,-109.75101900,NORTH-AMERICA,United States,WNA
Mysuru lakes,Mysuru lakes,LOC,-0.13750000,0.42500000,en,1.00000000,,-1,,,,,,
Gokak-Sankeshwar highway,Gokak-Sankeshwar highway,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Bacolod,Bacolod,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Negros,Negros,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Pacific zone,Pacific zone,GPE,0.04727273,0.54090909,en,1.00000000,,-1,,,,,,
Bannock mountain,Bannock mountain,LOC,-0.60000000,1.00000000,en,1.00000000,,-1,,,,,,
Panay,Panay,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
South America,South America,LOC,-0.16625000,0.82250000,en,1.00000000,,-1,,,,,,
the Negros Island Region,the Negros Island Region,GPE,-0.02222222,0.20000000,en,1.00000000,,-1,,,,,,
Hobart,Hobart,GPE,0.10000000,0.40000000,en,1.00000000,,-1,,,,,,
IOWA CITY,IOWA CITY,GPE,0.03333333,0.34166667,en,1.00000000,,-1,,,,,,
the Lake of Palmas River Basin,the Lake of Palmas River Basin,LOC,-0.05416667,0.50000000,en,1.00000000,,-1,,,,,,
Nepals,Nepals,GPE,-0.12500000,0.17500000,en,1.00000000,,-1,,,,,,
O'Brien,O'Brien,GPE,0.25000000,0.85000000,en,1.00000000,,-1,,,,,,
floodscan,floodscan,GPE,0.01117424,0.50530303,en,1.00000000,,-1,,,,,,
Chikkanagounden Kanmoi,Chikkanagounden Kanmoi,GPE,0.16000000,0.54000000,en,1.00000000,,-1,,,,,,
Konya Plain,Konya Plain,LOC,0.00000000,0.50000000,en,1.00000000,,-1,,,,,,
White Mountains,White Mountains,LOC,0.05927273,0.31890909,en,1.00000000,,-1,,,,,,
Eungedup Wetlands,Eungedup Wetlands,LOC,-0.17708333,0.33333333,en,1.00000000,,-1,,,,,,
Geneva22,Geneva22,GPE,-0.04007937,0.43769841,en,1.00000000,,-1,,,,,,
Northern Sahelian Ghana,Northern Sahelian Ghana,GPE,0.00000000,0.10000000,en,1.00000000,,-1,,,,,,
Sawai Madhopur,Sawai Madhopur,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Djibouti,Djibouti,GPE,0.05000000,0.20000000,en,1.00000000,4070610-2,223816,X,11.50000000,42.50000000,AFRICA,Djibouti,NEAF
Kourtimale,Kourtimale,GPE,0.05000000,0.20000000,en,1.00000000,,-1,,,,,,
ANTALYA,ANTALYA,GPE,0.21428571,0.64285714,en,1.00000000,,-1,,,,,,
arid valley,arid valley,LOC,0.05000000,0.20000000,en,1.00000000,,-1,,,,,,
Aus,Aus,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Türkiyes Mediterranean,Türkiyes Mediterranean,GPE,0.21428571,0.64285714,en,1.00000000,,-1,,,,,,
MANHATTAN,MANHATTAN,GPE,-0.11666667,0.11666667,en,1.00000000,,-1,,,,,,
Singha Durbar,Singha Durbar,GPE,-0.15000000,0.32500000,en,1.00000000,,-1,,,,,,
South Asia,South Asia,LOC,-0.15000000,0.32500000,en,1.00000000,,-1,,,,,,
Naegohyang,Naegohyang,GPE,0.18750000,0.45833333,en,1.00000000,,-1,,,,,,
Arbor,Arbor,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Compositae,Compositae,LOC,0.26666667,0.43333333,en,1.00000000,,-1,,,,,,
Yosemite Valley,Yosemite Valley,LOC,0.20666667,0.53000000,en,1.00000000,,-1,,,,,,
Antarctica,Antarctica,LOC,0.26666667,0.43333333,en,1.00000000,,-1,,,,,,
The Colorado River,The Colorado River,LOC,-0.50000000,1.00000000,en,1.00000000,,-1,,,,,,
SA,SA,LOC,-0.01666667,0.31666667,en,1.00000000,,-1,,,,,,
Lake P,Lake P,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
nev,nev,GPE,0.00000000,0.33333333,en,1.00000000,,-1,,,,,,
San Carlos Reservoir,San Carlos Reservoir,LOC,-0.43333333,0.60000000,en,1.00000000,,-1,,,,,,
Portugal,Portugal,GPE,0.21481481,0.22962963,en,1.00000000,4046843-4,2264397,X,39.50000000,-8.00000000,EUROPE-AFRICA,Portugal,MED
Berkeley,Berkeley,GPE,0.15909091,0.26363636,en,1.00000000,,-1,,,,,,
Houston,Houston,GPE,0.25000000,0.50000000,en,1.00000000,,-1,,,,,,
Vita Springwood,Vita Springwood,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Belfast,Belfast,GPE,0.50000000,0.50000000,en,1.00000000,4080332-6,2655984,X,54.58332900,-5.93332900,EUROPE,United Kingdom,NEU
Ga.,Ga.,GPE,0.16571429,0.43142857,en,1.00000000,,-1,,,,,,
British Columbia,British Columbia,GPE,0.15000000,0.45000000,en,1.00000000,4069670-4,5909050,X,53.99983000,-125.00320000,NORTH-AMERICA,Canada,NWN
Denmark,Denmark,GPE,0.10000000,0.40000000,en,1.00000000,4010877-6,2623032,X,56.00000000,10.00000000,EUROPE,Denmark,NEU
Pe…,Pe…,GPE,0.10000000,0.40000000,en,1.00000000,,-1,,,,,,
JAKARTA,JAKARTA,GPE,-0.30000000,0.40000000,en,1.00000000,,-1,,,,,,
Norfolk,Norfolk,GPE,0.00000000,0.00000000,en,1.00000000,4117918-3,2641455,X,52.66666600,1.00000000,EUROPE,United Kingdom,NEU
Somalias,Somalias,GPE,0.00000000,0.25000000,en,1.00000000,,-1,,,,,,
Wyom,Wyom,GPE,0.00000000,0.50000000,en,1.00000000,,-1,,,,,,
Dehradun,Dehradun,GPE,0.10000000,0.10000000,en,1.00000000,4085403-6,1273313,X,30.32444400,78.03388800,ASIA,India,TIB
mediterranean,mediterranean,LOC,-0.12500000,1.00000000,en,1.00000000,,-1,,,,,,
The Bagmati Province Government,The Bagmati Province Government,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
The Regional District,The Regional District,LOC,0.25000000,0.40000000,en,1.00000000,,-1,,,,,,
modera,modera,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
North Okanagan,North Okanagan,GPE,0.25000000,0.40000000,en,1.00000000,,-1,,,,,,
Gran Canaria,Gran Canaria,GPE,0.50000000,0.50000000,en,1.00000000,,-1,,,,,,
Greater Vernon Water,Greater Vernon Water,LOC,0.25000000,0.40000000,en,1.00000000,,-1,,,,,,
The Persian Gulf's,The Persian Gulf's,LOC,0.50000000,0.50000000,en,1.00000000,,-1,,,,,,
the Regional District,the Regional District,LOC,0.50000000,0.50000000,en,1.00000000,,-1,,,,,,
the North Okanagan,the North Okanagan,LOC,0.50000000,0.50000000,en,1.00000000,,-1,,,,,,
The Gila River,The Gila River,LOC,0.34545455,0.65151515,en,1.00000000,,-1,,,,,,
Memramcook,Memramcook,GPE,-0.50000000,0.50000000,en,1.00000000,,-1,,,,,,
Carleton County,Carleton County,GPE,-0.50000000,0.50000000,en,1.00000000,,-1,,,,,,
the South Island,the South Island,LOC,0.10625000,0.59375000,en,1.00000000,,-1,,,,,,
Panchana Dam,Panchana Dam,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
the Garden State,the Garden State,LOC,0.22878788,0.47373737,en,1.00000000,,-1,,,,,,
West Deptford,West Deptford,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Abu Dhabi,Abu Dhabi,GPE,0.00000000,0.00000000,en,1.00000000,4000287-1,292968,X,24.46667000,54.36666900,ASIA,United Arab Emirates,ARP
Sichuan,Sichuan,GPE,0.70000000,0.90000000,en,1.00000000,,-1,,,,,,
UAE,UAE,GPE,0.40000000,0.50000000,en,1.00000000,,-1,,,,,,
Nanofluids,Nanofluids,GPE,-0.15000000,0.05000000,en,1.00000000,,-1,,,,,,
Lancaster city council,Lancaster city council,GPE,-0.10000000,0.10000000,en,1.00000000,,-1,,,,,,
the City Sinks Into the Desert,the City Sinks Into the Desert,GPE,-0.10000000,0.00000000,en,1.00000000,,-1,,,,,,
the City Sinks Into,the City Sinks Into,GPE,-0.10000000,0.00000000,en,1.00000000,,-1,,,,,,
The United Arab Emirates,The United Arab Emirates,GPE,0.17500000,0.27500000,en,1.00000000,,-1,,,,,,
Lake Tefé,Lake Tefé,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Port Hedland,Port Hedland,GPE,-0.45000000,0.30000000,en,1.00000000,1213932335,2063042,X,-20.31194400,118.61055500,OCEANIA,Australia,CAU
FREMONT,FREMONT,GPE,0.05357143,0.28571429,en,1.00000000,,-1,,,,,,
San Luis Valley,San Luis Valley,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Glasgow Central,Glasgow Central,GPE,0.25000000,0.62500000,en,1.00000000,,-1,,,,,,
Shap,Shap,LOC,0.25000000,0.62500000,en,1.00000000,,-1,,,,,,
Cumbria,Cumbria,GPE,0.25000000,0.62500000,en,1.00000000,,-1,,,,,,
the Kingdom of Saudi Arabia,the Kingdom of Saudi Arabia,GPE,0.35714286,0.77142857,en,1.00000000,,-1,,,,,,
RENO,RENO,GPE,0.05000000,0.10000000,en,1.00000000,,-1,,,,,,
Preclinic,Preclinic,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
the San Luis Valley,the San Luis Valley,LOC,0.24659091,0.42196970,en,1.00000000,,-1,,,,,,
NORTH ANDOVER,NORTH ANDOVER,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Galilee,Galilee,GPE,0.00000000,0.30000000,en,1.00000000,,-1,,,,,,
Tauranga,Tauranga,GPE,0.19318182,0.47727273,en,1.00000000,4379727-1,2208032,X,-37.68610900,176.16667000,OCEANIA,New Zealand,NZ
Caribbean beaches,Caribbean beaches,LOC,0.80000000,0.75000000,en,1.00000000,,-1,,,,,,
the Sargassum Belt,the Sargassum Belt,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Galveston,Galveston,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Galveston Island Brewing,Galveston Island Brewing,GPE,0.01250000,0.20000000,en,1.00000000,,-1,,,,,,
Ghost Coast,Ghost Coast,GPE,0.01250000,0.20000000,en,1.00000000,,-1,,,,,,
New Glenn,New Glenn,GPE,0.06818182,0.27727273,en,1.00000000,,-1,,,,,,
UMass Amherst,UMass Amherst,GPE,0.10000000,0.40000000,en,1.00000000,,-1,,,,,,
SAN JOSE,SAN JOSE,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Ukrai,Ukrai,GPE,0.03333333,0.16666667,en,1.00000000,,-1,,,,,,
kingdom,kingdom,GPE,0.04927273,0.57890909,en,1.00000000,,-1,,,,,,
Missouri,Missouri,GPE,0.20000000,0.20000000,en,1.00000000,,-1,,,,,,
El Paso,El Paso,GPE,0.20000000,1.00000000,en,1.00000000,,-1,,,,,,
Omaha,Omaha,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
the Great Lakes,the Great Lakes,LOC,0.80000000,0.75000000,en,1.00000000,,-1,,,,,,
New UK,New UK,GPE,0.06818182,0.62727273,en,1.00000000,,-1,,,,,,
Sea of Galilee,Sea of Galilee,LOC,0.06666667,0.17333333,en,1.00000000,,-1,,,,,,
Crete,Crete,GPE,0.04545455,0.38207071,en,1.00000000,,-1,,,,,,
Pettinga D,Pettinga D,GPE,0.00000000,0.12500000,en,1.00000000,,-1,,,,,,
Floridas,Floridas,GPE,-0.06666667,0.30000000,en,1.00000000,,-1,,,,,,
eastern Ontario,eastern Ontario,LOC,0.25000000,0.40000000,en,1.00000000,,-1,,,,,,
Kiskatinaw River,Kiskatinaw River,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Myers,Myers,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
N.,N.,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Southern Thailand,Southern Thailand,LOC,-0.15000000,0.20000000,en,1.00000000,,-1,,,,,,
COLOMBO,COLOMBO,GPE,-0.20000000,0.23888889,en,1.00000000,,-1,,,,,,
Kingston,Kingston,GPE,0.00000000,0.30000000,en,1.00000000,,-1,,,,,,
Badulla,Badulla,GPE,-0.20000000,0.23888889,en,1.00000000,,-1,,,,,,
pe… COLOMBO:,pe… COLOMBO:,GPE,-0.20000000,0.23888889,en,1.00000000,,-1,,,,,,
