domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.sciencedaily.com,0.0763671618785255,0.06954205067977678,0.45149689080560296,0.06641812076916669,12.0
biztoc.com,-0.03254218775052108,0.24404302625533236,0.3644390331890332,0.22835485355853014,12.0
www.naturalnews.com,-0.006691604901832169,0.129078458256925,0.3707027057838746,0.17943550813781914,11.0
abcnews.com,-0.01812868949232585,0.24717366270814634,0.490504476584022,0.1335919653701493,11.0
phys.org,0.06045454545454546,0.14471201546960505,0.35161400355596784,0.2054626413951284,10.0
finance.yahoo.com,0.09275883838383839,0.1578089664105358,0.32688131313131313,0.19222784827999037,10.0
spacedaily.com,0.05744889886072922,0.093291125090396,0.437590321550143,0.12857196027959195,10.0
abcnews.go.com,0.0492336136086136,0.15712537342054683,0.4750008325008325,0.1655680965077013,10.0
www.scientificamerican.com,0.0047723665223665165,0.1776574134503991,0.4534978354978355,0.15063450408826606,10.0
en.protothema.gr,0.06228675144300144,0.08202173298780556,0.37733343855218854,0.15868436453476265,10.0
www.newscientist.com,0.04418163780663782,0.1427406613939114,0.4207819264069264,0.23795340537066242,10.0
www.globalsecurity.org,-0.0041666666666666675,0.1298515296524705,0.3001234567901234,0.20208267044140565,9.0
www.gov.uk,0.028067129629629633,0.10199898453764351,0.4428047839506173,0.16132192052539462,9.0
www.juancole.com,-0.028519620811287474,0.11135574439149923,0.4207495590828924,0.22437190162307594,9.0
www.npr.org,0.07264746673080007,0.08248218827482491,0.4008043129709796,0.25621528595432325,9.0
nypost.com,-0.040430402930402926,0.2241456031275058,0.625550468050468,0.19010579588628165,9.0
www.cnet.com,0.1815365126129015,0.15244171360511757,0.5162251650098872,0.09946207091040778,9.0
www.rte.ie,0.09033810325476993,0.21501664341578464,0.484280303030303,0.19291780872068198,9.0
www.bostonherald.com,0.0485990860990861,0.20277266758601212,0.4586658249158249,0.10283476807622277,9.0
punchng.com,0.14640151515151514,0.21744130512109844,0.3951231060606061,0.17424071115993947,8.0
www.channelnewsasia.com,-0.10525568181818182,0.21243680503291362,0.3578735269360269,0.2835902348475734,8.0
www.businessinsider.com,0.1071714917027417,0.10535046218796329,0.33682494588744594,0.13888062231189682,8.0
www.prnewswire.com,0.1022425788497217,0.10925051258584736,0.3771124510410225,0.1378867132706326,7.0
www.nbcnews.com,-0.04056883772792863,0.14130004740058139,0.4607151056014693,0.1509213879905482,7.0
www.denverpost.com,-0.06625721500721501,0.2226452145636596,0.3545030663780664,0.07149682714616863,7.0
science.nasa.gov,0.0022019300144300153,0.22712943454877416,0.4915300324675324,0.17388001430456548,7.0
www.cbsnews.com,-0.018961038961038932,0.311716731007573,0.5382251082251083,0.10810075034156136,7.0
www.pbs.org,0.0286780045351474,0.15259712478098972,0.552652305366591,0.13699542703155762,7.0
alltoc.com,0.01803060365560366,0.10711905948151988,0.3919252044252044,0.15854284450542783,7.0
9to5toys.com,0.11072140822140823,0.08392216788208713,0.4933964183964184,0.04300598020022632,6.0
skepticalscience.com,-0.004686748436748437,0.05799851709442959,0.3515578403078403,0.14236187269189923,6.0
www.boredpanda.com,0.08152837902837905,0.20518017722048879,0.448474395974396,0.1039649827171615,6.0
statetimes.in,0.12723544973544976,0.21482818119204555,0.4516909171075838,0.18461016174020575,6.0
www.newser.com,-0.0033028699695366224,0.3089702381994735,0.5102573352573353,0.09896574171963259,6.0
www.globalresearch.ca,0.029924242424242426,0.09362974398210774,0.488625340708674,0.21203291405612432,6.0
www.livescience.com,-0.07364309764309764,0.12294538946689473,0.4782289562289562,0.06716348312021339,5.0
www.theatlantic.com,0.13954329004329005,0.14254791838692404,0.5148943001443002,0.0981157532420515,5.0
